Winner,title_bout,weight_class,gender,no_of_rounds,B_current_streak,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_decision,B_win_finish,B_Stance,B_Height_cms,B_Reach_cms,R_current_streak,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_decision,R_win_finish,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age,streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,decision_dif,finish_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,better_rank,rank_diff,B_is_35plus,R_is_35plus,year
Red,False,Women's Strawweight,FEMALE,3,-3,3.56,0.46,0.7,1.42,0.32,7,46,0,4,4,Orthodox,160.02,157.48,-2,4.77,0.48,0.2,0.25,0.42,3,37,0,5,2,Orthodox,167.64,165.1,36,37,-1,1,4,9,0,-1,2,-7.620000000000003,-7.620000000000003,1,-1.2099999999999995,0.4999999999999999,1.17,12.0,8.0,Red,4.0,1.0,1.0,2023
Red,False,Welterweight,MALE,3,1,3.36,0.49,0.9,1.54,0.35,2,9,0,0,2,Switch,177.8,170.18,1,4.52,0.54,0.6,0.94,0.25,1,10,0,1,3,Orthodox,185.42,195.58,29,26,0,-2,1,-1,0,-1,-1,-7.620000000000003,-25.40000000000001,-3,-1.1599999999999997,0.3,0.6000000000000001,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Featherweight,MALE,3,1,5.71,0.49,0.5,0.1,0.16,5,30,0,2,3,Switch,175.26,175.26,1,3.21,0.37,0.7,2.79,0.59,3,22,0,4,3,Orthodox,175.26,182.88,28,27,0,-2,2,8,0,-2,0,0.0,-7.620000000000003,-1,2.5,-0.1999999999999999,-2.69,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Bantamweight,MALE,3,1,3.51,0.48,0.0,1.03,0.21,2,20,0,3,2,Orthodox,170.18,167.64,1,2.35,0.47,1.9,2.54,0.5,1,7,0,1,0,Southpaw,170.18,172.72,30,29,0,4,1,13,0,2,2,0.0,-5.079999999999984,-1,1.1599999999999997,-1.9,-1.51,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Welterweight,MALE,3,-3,3.3,0.41,0.0,0.25,1.0,4,12,0,0,2,Orthodox,182.88,187.96,-3,5.1,0.49,0.2,1.16,0.42,12,61,0,7,7,Orthodox,187.96,190.5,39,29,0,-12,-8,-49,0,-7,-5,-5.0800000000000125,-2.539999999999992,-10,-1.7999999999999998,-0.2,-0.91,20.0,20.0,neither,0.0,0.0,1.0,2023
Blue,False,Middleweight,MALE,3,-3,1.69,0.54,1.1,2.51,0.5,5,12,0,0,2,Orthodox,182.88,182.88,1,3.89,0.56,0.5,7.2,0.44,2,13,0,3,0,Orthodox,175.26,185.42,28,29,-4,-1,3,-1,0,-3,2,7.620000000000003,-2.5400000000000205,1,-2.2,0.6000000000000001,-4.69,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Heavyweight,MALE,3,-3,5.8,0.44,0.6,0.71,0.33,8,30,0,3,2,Orthodox,190.5,198.12,2,2.92,0.4,0.0,1.26,0.18,0,5,0,1,1,Orthodox,187.96,200.66,34,34,-5,3,8,25,0,2,1,2.539999999999992,-2.539999999999992,0,2.88,0.6,-0.55,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Strawweight,FEMALE,3,-1,5.19,0.47,0.2,0.66,0.12,3,11,0,1,1,Orthodox,162.56,154.94,-1,4.56,0.5,0.0,0.33,0.14,1,6,0,1,0,Orthodox,160.02,165.1,29,31,0,1,2,5,0,0,1,2.539999999999992,-10.159999999999997,2,0.6300000000000008,0.2,0.33,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Women's Bantamweight,FEMALE,3,0,4.6,0.37,0.0,3.0,0.6,0,0,0,0,0,Orthodox,172.72,172.72,1,4.25,0.55,0.8,0.0,0.0,0,1,0,0,1,Orthodox,167.64,172.72,25,34,-1,-1,0,-1,0,0,-1,5.079999999999984,0.0,9,0.3499999999999996,-0.8,3.0,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Welterweight,MALE,3,6,7.2,0.53,0.3,0.27,0.2,0,10,0,2,4,Switch,180.34,185.42,2,4.39,0.49,0.5,0.78,0.38,6,50,0,4,9,Orthodox,190.5,205.74,30,27,4,-7,-6,-40,0,-2,-5,-10.159999999999997,-20.32,-3,2.8100000000000005,-0.2,-0.51,14.0,13.0,Red,1.0,0.0,0.0,2023
